ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
MO11176,39.75077713,-92.51437502,LONG BRANCH DAM,5147,dam_study,True,True,True,True,False,True,14.661078,Low (4),20190919
OH00010,40.35888456,-81.22663965,TAPPAN DAM,1524,dam_study,True,False,True,True,True,True,15.191366,Low (4),20181126
KY03055,38.11760874,-83.53267552,CAVE RUN DAM,2819,dam_study,True,False,True,True,True,True,15.214648,Very Low (5),20181022
PA01133,41.89939463,-77.14694582,HAMMOND DAM,201,dam_study,True,False,True,True,True,True,15.687044,Low (4),20131112
OH00931,40.18724446,-82.96335079,ALUM CREEK DAM,253,dam_study,True,False,True,True,True,True,15.982872,Moderate (3),20180516
VT00004,43.05192465,-72.70385765,TOWNSHEND DAM,2812,dam_study,True,False,True,True,True,True,16.264831,Low (4),20180711
KS00026,38.923328,-95.330002,CLINTON DAM,179,dam_study,True,False,True,True,True,True,17.584791,Low (4),20090127
NH00004,43.18863184,-71.74764136,HOPKINTON DAM,7071,dam_study,True,True,True,True,False,True,17.989279,Low (4),20220909
MS03060,34.25786895,-88.42488916,FULTON LOCK AND DAM,1531,dam_study,True,False,True,False,False,True,18.354542,Very Low (5),20190530
MN00580,45.0219407,-95.86913647,LAC QUI PARLE DAM,1041,dam_study,True,False,True,True,True,True,18.616055,Low (4),20100330
PA00006,41.69687386,-75.48595151,STILLWATER DAM,1022,dam_study,True,False,True,True,True,True,18.868036,Low (4),20190919
NC00300,36.13441524,-81.22596408,W. KERR SCOTT DAM,6212,dam_study,True,True,True,True,False,True,19.007569,Moderate (3),20140516
OR00012,44.41561373,-122.6701612,FOSTER DAM,189,dam_study,True,False,True,True,True,True,19.356419,High (2),20160513
WV00701,38.66160057,-80.69293662,SUTTON DAM,5178,dam_study,True,True,True,True,False,True,19.642786,Low (4),20220910
MO30200,37.69190358,-93.75950389,STOCKTON DAM,182,dam_study,True,False,True,True,True,True,19.664162,Low (4),20220909
OR00624,42.05601063,-123.1149774,APPLEGATE DAM,5149,dam_study,True,True,True,True,False,True,19.726839,Moderate (3),20201112
OH00016,40.35162373,-82.0888643,MOHAWK DAM,141,dam_study,True,False,True,True,True,True,19.901005,Moderate (3),20160718
IN03018,38.43433855,-86.70758984,PATOKA DAM,222,dam_study,True,False,True,True,True,True,19.955642,Low (4),20160219
