ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size
IL00113,38.618825,-89.352293,CARLYLE DAM,976,dam_study,True,False,True,True,True,True,28.67604
OR00013,44.17332974,-122.3283096,BLUE RIVER DAM,1485,dam_study,True,False,True,True,True,True,29.210012
TX00004S001,29.866671,-98.199997,CANYON LAKE DAM - DIKE A,5157,dam_study,True,False,False,False,False,False,29.751348
OR00008,43.78369366,-122.9542963,DORENA DAM,135,dam_study,True,False,False,False,False,True,30.252003
MN00586,47.42906918,-94.05188214,WINNIBIGOSHISH DAM,4292,dam_study,True,False,True,True,True,True,30.50406
IL00118,39.40912461,-88.78038027,SHELBYVILLE DAM,209,dam_study,True,False,True,True,True,True,31.16658
OH00015,40.35888375,-83.06899939,DELAWARE DAM,325,dam_study,True,False,True,True,True,True,31.357144
MS03604,34.46281241,-88.36625266,G.V. MONTGOMERY LOCK AND DAM,2814,dam_study,True,False,True,False,False,True,31.637024
MO12084,39.39602186,-94.55616325,SMITHVILLE DAM,4288,dam_study,True,False,True,True,True,True,31.828578
TX00008,33.06931527,-96.96453947,LEWISVILLE DAM,68,dam_study,True,False,True,False,False,True,32.285101
KS00002,37.2772,-95.78786,ELK CITY DAM,1125,dam_study,True,False,True,True,True,True,32.728232
MA00963,42.63095422,-72.12327215,BIRCH HILL DAM,1082,dam_study,True,False,True,True,True,True,33.677703
OK10313,35.94808176,-96.29593538,HEYBURN DAM,1066,dam_study,True,False,True,True,True,True,34.809985
TX00004,29.86917308,-98.19762158,CANYON LAKE DAM,5157,dam_study,True,True,True,True,False,True,34.901959
KY03007,37.24571455,-85.33981988,GREEN RIVER DAM,207,dam_study,True,False,True,True,True,True,35.06282
KS00013,38.96672905,-98.49541002,WILSON DAM,190,dam_study,True,False,False,False,False,True,35.161422
IN03006,40.84600796,-85.46868178,J. EDWARD ROUSH DAM,5163,dam_study,True,True,True,True,False,True,35.191121
ND00146,46.96174814,-98.75250043,PIPESTEM DAM,769,dam_study,True,False,True,True,True,True,35.212174
OK22178,35.645,-97.361671,ARCADIA DAM,961,dam_study,True,False,True,True,True,True,35.30666
MA00972,42.08223855,-72.05818359,WESTVILLE DAM,5886,dam_study,True,True,True,True,False,True,36.349799
GA03742S001,34.112355,-84.713096,ALLATOONA DAM - SADDLE DIKE,1000,dam_study,True,False,False,False,False,False,36.717977
KY03012,37.61975093,-86.50090675,ROUGH RIVER DAM,223,dam_study,True,False,True,True,True,True,37.058912
OK10308,35.30449621,-95.36025232,EUFAULA DAM,1040,dam_study,True,False,True,True,True,True,37.32652
OK22203,34.23572106,-98.05367357,WAURIKA DAM,6366,dam_study,True,True,True,True,False,True,37.820305
PA01134,41.98716686,-77.15272251,COWANESQUE DAM,6927,dam_study,True,True,True,True,False,True,37.93897
